stimulus,video,trial,frame,eye,lultrial,nth_annotation,noticeRadios,width,height,top,left,pupil_area,eye_area,pupil_area_rel
IPL8005a_eye_left_5419.png,IPL8005a,2,5419,left,non-lullaby,1,difficult,21.5,28,113.5,164,472.80969436526385,3872.5,0.12209417543325084
IPL8005a_eye_left_5439.png,IPL8005a,2,5439,left,non-lullaby,1,difficult,20.5,30,111,166.5,483.0198704894307,4039,0.11958897511498655
IPL8005a_eye_left_5459.png,IPL8005a,2,5459,left,non-lullaby,1,difficult,29,34.5,108.5,176,785.790862479147,3877,0.20268012960514495
IPL8005a_eye_left_5479.png,IPL8005a,2,5479,left,non-lullaby,1,difficult,31,33,109,172,803.4623211555895,4171,0.19263062123126096
IPL8005a_eye_left_5499.png,IPL8005a,2,5499,left,non-lullaby,1,difficult,29.5,31.5,107,170,729.8312433370788,3781,0.19302598342689203
IPL8005a_eye_left_5499.png,IPL8005a,2,5499,left,non-lullaby,2,clearly,31,31.5,108.5,168.5,766.9413065576082,3781,0.20284086394012382
IPL8005a_eye_left_5519.png,IPL8005a,2,5519,left,non-lullaby,1,clearly,23,27,112,173,487.73225946981535,4139,0.11783818784001338
IPL8005a_eye_left_5539.png,IPL8005a,2,5539,left,non-lullaby,1,clearly,30,31,109.5,167,730.4202919596269,3892,0.18767222301120937
IPL8005a_eye_left_5559.png,IPL8005a,2,5559,left,non-lullaby,1,difficult,27,30.5,112,169,646.7753875577986,3963,0.16320347907085506
IPL8005a_eye_left_5579.png,IPL8005a,2,5579,left,non-lullaby,1,difficult,28,33,108,169,725.7079029792422,3945,0.18395637591362288
IPL8005a_eye_left_5599.png,IPL8005a,2,5599,left,non-lullaby,1,clearly,29,33,111,159.5,751.626042371358,3582.5,0.20980489668425906
IPL8005a_eye_left_5619.png,IPL8005a,2,5619,left,non-lullaby,1,clearly,30,29.5,110,157,695.0773746067417,3573.5,0.19450884975702862
IPL8005a_eye_left_5639.png,IPL8005a,2,5639,left,non-lullaby,1,difficult,32,32,111.5,156,804.247719318987,3614.5,0.22250593977562236
IPL8005a_eye_left_5659.png,IPL8005a,2,5659,left,non-lullaby,1,difficult,28.5,30.5,109,157.5,682.7073535332319,3520,0.1939509527083045
